EMP_CODE,ORG_NAME,ORG_CITY,EMP_PER_OUTLET,ORG_TYPE,EXPANSION,RECONCILIATION,WHY_NO_POS,LANGUAGE_PREF,PAYMENT_PREF,PAYMENT_AMOUNT,INTERNET_ACCESS,INTERNET_PROVIDER,INTERNET_DISRUPTION,DEPLOYMENT_PREF,BUSINESS_IMPROVEMENT,STORE_CUST_DATA,OFFER_DISCOUNTS,COMPETITIVE_ADVANTAGE,ORG_CITY_CLEAN
33409,Al syed medical store,Islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Onetime payment, (Yearly),No,Na,Never,Web-based,Yes,Yes,Yes,No,ISL
36750,Sohaib Computer,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, Tax purposes","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Web-based,Yes,No,No,Yes,ISL
34729,Inam cosmetic,Rawalpindi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (5000),No,None,Never,Standalone,Yes,Yes,Yes,No,RWP
33409,Reco tradors,Islamabad,Less than 5,Multiple outlets,Yes,Yes,Tax purposes,Urdu,Yearly plan, (Yearly ),No,Na,No internet,Web-based,Yes,Yes,Yes,No,ISL
33409,Archee electronics,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),Yes,Naya tel,Sometimes,Web-based,Yes,Yes,Yes,Yes,ISL
36750,Zaki General Store,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, Tax purposes","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,Yes,Yes,RWP
35918,Xyz,Karachi,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Yearly plan, (10000),Yes,Local net,Little,Standalone,Yes,No,No,No,KHI
36750,Haseeb Print Shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, Tax purposes","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,Yes,Yes,ISL
36731,Eithsham kiryana store,islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (other),No,None,No internet,Standalone,Yes,No,No,No,ISL
36585,adeel safdar,Rawalpindi,Less than 5,Single Outlet,Yes,No,"I am happy with how my business is managed presently, It never crossed my mind to have such a system",English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,Yes,No,No,Yes,RWP
36731,Cxm,islamabad,More than 5 but less than 10,Single Outlet,Yes,No,"I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Onetime payment, (other),No,none,No internet,Standalone,Yes,No,No,No,ISL
36585,bakir ali,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"It never crossed my mind to have such a system, Tax purposes",English,Yearly plan,,Yes,data,Never,Web-based,No,No,No,Yes,RWP
36585,waar kiyani,rawarpindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),Yes,wafi,Never,Web-based,Yes,No,Yes,Yes,RWP
36585,ayaz niaz,Rawalpindi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,English,Yearly plan, (yearly),No,i dont have internet service,Never,Web-based,Yes,No,Yes,Yes,RWP
36731,Lasani dairy milk shop,islamabad,More than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring," (20,000)",No,none,No internet,Standalone,Yes,No,No,No,ISL
36585,noman,rawarpindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Monthly recurring, (monthly),Yes,wafi,Never,Web-based,Yes,No,Yes,Yes,RWP
36585,bilal,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,Tax purposes,English,Yearly plan, (yearly),No,mobile data,Never,Web-based,Yes,No,No,Yes,RWP
36731,khalid bakers,Islamabad,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,Urdu,Onetime payment," (30,000)",No,none,No internet,Standalone,No,No,Yes,No,ISL
36750,Haseeb Print Shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,No,Yes,ISL
36750,Sohaib Computer,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,No,Yes,ISL
36750,Zaki General Store,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology",Urdu,Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,No,Yes,RWP
35198,Ideal botique,Rawal pindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Yearly plan, (Beacuse i cant pay in short time),Yes,PTCL,Sometimes,Web-based,No,No,Yes,No,RWP
36585,waqar khan,islamabad,Less than 5,Single Outlet,Yes,No,It never crossed my mind to have such a system,English,Monthly recurring, (monthly),Yes,wafi,Sometimes,Web-based,Yes,Yes,No,Yes,ISL
36585,izhar khan,Rawalpindi,Less than 5,Single Outlet,Yes,No,Tax purposes,English,Yearly plan, (yearly),No,i dont have internet service,Never,Standalone,Yes,No,Yes,Yes,RWP
36731,Shah G super store,Islamabad,More than 5 but less than 10,Single Outlet,Yes,No,"I am happy with how my business is managed presently, Tax purposes",Urdu,Onetime payment," (50,000)",No,None,No internet,Standalone,Yes,No,No,No,ISL
37459,Baryan auto,Islamabad,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (20bk),Yes,Ptcl,Little,Standalone,No,No,Yes,No,ISL
36731,Iftikhar and sons,Islamabad,More than 10,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, I have reservations with technology, Tax purposes","Both, English & Urdu",Monthly recurring, (100000),Yes,ptcl,Little,Web-based,Yes,Yes,Yes,Yes,ISL
30859,Medi health,Islamabad,Less than 5,Single Outlet,Yes,No,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Monthly recurring, (Monthly plan easy ),No,Na,No internet,Web-based,Yes,No,No,Yes,ISL
35198,Muneeb garments,Rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,Urdu,Monthly recurring, (I cant pay in one time),No,No internet access,Never,Web-based,No,No,Yes,No,RWP
36731,cloth zoo,Islamabad,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (35000),No,none,Sometimes,Standalone,Yes,Yes,No,No,ISL
35198,Faziaya cloth,Rawal Pindi,Less than 5,Single Outlet,No,No,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (I cant pay in one time),No,No internet access,No internet,Standalone,No,Yes,Yes,No,RWP
36731,Sijad clothes,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment," (50,000)",No,none,No internet,Standalone,No,No,No,No,RWP
35198,Noor Electric,Rawal pindi,Less than 5,Single Outlet,Yes,No,I don't know,"Both, English & Urdu",Monthly recurring, (I cant pay in one time),No,No internet,No internet,Web-based,No,No,Yes,No,RWP
36750,Danish General Store,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, Tax purposes","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,Yes,Yes,RWP
36750,Aftab Electric Corporation,Islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently, I have reservations with technology","Both, English & Urdu",Yearly plan, (Yearly),No,None,No internet,Standalone,Yes,No,No,Yes,ISL
35918,Lassi communication,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (1000),No,Not available,No internet,Web-based,Yes,No,Yes,No,KHI
10182,Pakiza Pansaari Shop,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,Urdu,Yearly plan,,Yes,Local net,Sometimes,Web-based,Yes,No,Yes,Yes,KHI
36750,Riphah University,Rawalpindi,More than 10,Multiple outlets,Yes,Yes,I have reservations with technology,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Little,Web-based,Yes,Yes,Yes,Yes,RWP
36750,Ahmed Typing Institute,Rawalpindi,More than 10,Single Outlet,Yes,Yes,"I am happy with how my business is managed presently, Tax purposes","Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Web-based,Yes,Yes,Yes,Yes,RWP
35918,Muhattamiq dawa khana,Karachi,Less than 5,Single Outlet,Yes,No,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Yearly plan, (2500),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
36750,Akram Furniture,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,No,Yes,Yes,ISL
35198,Tawaqal book center,Rawal pindi,Less than 5,Single Outlet,Yes,Yes,I don't know,"Both, English & Urdu",Onetime payment, (One time ),Yes,Tanda,Sometimes,Standalone,Yes,Yes,Yes,No,RWP
36750,Karwan e Mustafa (Travel Agency),Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
36750,Amir Furniture,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
36607,Life optical,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Yearly plan, (10000),Yes,Ptcl,Sometimes,Standalone,No,No,Yes,No,KHI
36750,Aqib Cleaners,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
35918,Azam pan shop,Karachi,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,Urdu,Yearly plan, (1000),No,Not available,No internet,Standalone,Yes,No,No,Yes,KHI
10182,Khadija Pansaari Shop,Karachi,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,Urdu,Yearly plan,,No,No internet,No internet,Standalone,No,No,Yes,No,KHI
30859,Rajoot julers,Islamabad,Less than 5,Single Outlet,Yes,No,"Don’t want to spend money, I am happy with how my business is managed presently","Both, English & Urdu",Yearly plan, (Preferable),No,No,No internet,Web-based,Yes,No,No,Yes,ISL
36750,High Rise,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Little,Standalone,Yes,Yes,Yes,Yes,ISL
10182,Akhter General Store,Karachi,Less than 5,Single Outlet,No,No,I don't know,"Both, English & Urdu",Yearly plan, (6 month),No,N/A,No internet,Standalone,No,No,No,No,KHI
35918,Akmal dawa khana,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (100),No,No internet,No internet,Standalone,Yes,No,Yes,No,KHI
36607,Nadia Electronics,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,English,Monthly recurring, (50000),No,N/A,No internet,Standalone,Yes,No,Yes,Yes,KHI
33409,Bags and bags,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,No,Yes,Yes,No,ISL
10182,Ayesha Communications,Karachi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,Urdu,Monthly recurring, (2500),No,No internet,No internet,Standalone,No,No,No,Yes,KHI
35918,Mashallah store,Karachi,Less than 5,Multiple outlets,Yes,No,Don’t want to spend money,Urdu,Yearly plan, (8750),No,No internet,No internet,Standalone,Yes,No,No,No,KHI
33409,saqib garments,islamabad,Less than 5,Single Outlet,Yes,Yes,"Don’t want to spend money, I am happy with how my business is managed presently",English,Onetime payment, (na),No,na,No internet,Web-based,No,Yes,Yes,No,ISL
33409,ali medicos,islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (na),No,na,No internet,Web-based,No,Yes,Yes,No,ISL
35918,Serena  Communication,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (1000),Yes,Local Internet,Sometimes,Standalone,Yes,Yes,No,No,KHI
35918,Rehman garments,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,Urdu,Monthly recurring, (300),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
35918,Saify Toys,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,Urdu,Monthly recurring, (1000),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
35918,White club store,Karachi,Less than 5,Single Outlet,Yes,No,"Don’t want to spend money, It never crossed my mind to have such a system",Urdu,Monthly recurring, (1500),No,No internet,No internet,Standalone,No,No,No,No,KHI
36607,Cool&nicks Saloon,Karachi,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (8000),Yes,Cable net,A lot,Standalone,Yes,No,No,No,KHI
35918,Wear zone,Karachi,Less than 5,Single Outlet,Yes,No,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (1200),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
36750,Cellmore,Rawalpindi,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
36750,Naqshaz.Pk,Islamabad,More than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,Nayatel,Never,Web-based,Yes,Yes,Yes,Yes,ISL
36750,KB Woods,Islamabad,More than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,ISL
10182,Iqbal Aitmad fabrics,Karachi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Monthly recurring, (4000),No,No internet,No internet,Standalone,Yes,No,Yes,No,KHI
31607,Khattak general store,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Other: (I am not educated),Monthly recurring, (2000),Yes,Local cable,Never,Web-based,Yes,Yes,No,No,RWP
36607,Sonu jee,Karachi,More than 10,Single Outlet,Yes,No,It never crossed my mind to have such a system,English,Onetime payment, (9000),Yes,Net division,Sometimes,Standalone,No,Yes,Yes,No,KHI
10182,Haji zanjeer Khan,Karachi,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,Urdu,Monthly recurring, (2000),No,No internet,No internet,Standalone,Yes,No,Yes,No,KHI
31607,United Electric Store,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,Urdu,Onetime payment, (It should be free of cost ),No,No internet,No internet,Standalone,No,Yes,No,No,RWP
10182,Iqbal aitemaad fabrics,Khi,Less than 5,Single Outlet,No,No,Don’t want to spend money,Urdu,Monthly recurring, (1200),No,No internet,No internet,Standalone,No,No,Yes,No,KHI
36750,Fahad Carpets,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
36750,Laptop Solution,Rawalpindi,Less than 5,Single Outlet,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),No,None,No internet,Standalone,Yes,Yes,Yes,Yes,RWP
36750,KIPS,Islamabad,More than 10,Multiple outlets,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,Nayatel,Little,Standalone,Yes,Yes,Yes,Yes,ISL
36750,PAK MAC,Islamabad,More than 10,Multiple outlets,Yes,Yes,I am happy with how my business is managed presently,"Both, English & Urdu",Monthly recurring, (Monthly),Yes,PTCL,Little,Standalone,Yes,Yes,Yes,Yes,ISL
31607,Al jannat jernal Store,Rawalpindi,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (3000),Yes,Nayal Tel,Little,Web-based,Yes,Yes,No,No,RWP
35918,Maryum Optics,Karachi,Less than 5,Single Outlet,Yes,Yes,It never crossed my mind to have such a system,"Both, English & Urdu",Monthly recurring, (1000),Yes,Locat internet,A lot,Standalone,Yes,No,Yes,Yes,KHI
33409,The wool shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,Urdu,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Faisal cloth house,Islamabad,More than 5 but less than 10,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Glamour fabrics,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Sila jewelers,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,Yes,Yes,Yes,ISL
33409,Rehan book shop,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Khursheed bhai chasme. Wala,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Ishraa beding store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Sadique books,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
34314,United Medical Store,Rawalpindi,Less than 5,Single Outlet,No,No,I am happy with how my business is managed presently,English,Yearly plan, (Other),No,No idea,No internet,Standalone,No,No,No,No,RWP
33409,Zaid cloth house,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,English,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Azhat brother General store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Gulshan pan store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
36731,zaman mobile,islamabad,Less than 5,Single Outlet,Yes,No,I am happy with how my business is managed presently,"Both, English & Urdu",Yearly plan, (100000),Yes,Ptcl,Little,Standalone,No,No,No,No,ISL
33409,Menu store,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Sunny gifts gallery,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Nq),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Orient prints and publishers,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Onetime payment, (Na),Yes,Nayatel,Sometimes,Web-based,Yes,No,Yes,Yes,ISL
33409,Al faisal cloths,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
30859,Colour stationery,Islamabad,Less than 5,Single Outlet,No,Yes,"Don’t want to spend money, I have reservations with technology, It never crossed my mind to have such a system",English,Onetime payment, (25000),Yes,Niya tel,Little,Web-based,Yes,No,No,Yes,ISL
33409,Kainat rice,Islamabad,More than 5 but less than 10,Multiple outlets,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Yearly plan, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
37459,Ali pharmacy and cosmetics G-11 Markaz,Islamabad,More than 5 but less than 10,Multiple outlets,Yes,No,I have reservations with technology,English,Onetime payment, (Pkr),Yes,Ptcl,Never,Web-based,Yes,Yes,Yes,No,ISL
33409,Imran sports,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
33409,Zeb tradors,Islamabad,Less than 5,Single Outlet,Yes,No,Don’t want to spend money,Urdu,Monthly recurring, (Na),No,Na,No internet,Web-based,Yes,No,Yes,No,ISL
33409,New pak auto,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,Urdu,Onetime payment, (Na),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
37459,Servis shoes,Islamabad,Less than 5,Multiple outlets,Yes,No,Don’t want to spend money,English,Onetime payment, (50k),Yes,Ptcl,Never,Standalone,Yes,No,No,No,ISL
33409,Vicky autos,Islamabad,Less than 5,Single Outlet,Yes,Yes,Don’t want to spend money,"Both, English & Urdu",Monthly recurring, (Nq),No,Na,No internet,Web-based,Yes,No,Yes,Yes,ISL
